region,lat,lng
"Elkton Oregon, Southern Oregon, Oregon, US",nan,nan
"St. Helena, Napa, California, US",38.5052288,-122.470042
"Bourgogne Côtes d’Auxerre, Burgundy, France",nan,nan
"Dealu Mare, Romania",46.7202291,23.1579285
"Montepulciano d'Abruzzo, Central Italy, Italy",nan,nan
"Seneca Lake, Finger Lakes, New York, US",nan,nan
"Soave Classico, Veneto, Italy",nan,nan
"Rosé d'Anjou, Loire Valley, France",nan,nan
"Tierra de Castilla, Central Spain, Spain",nan,nan
"Médoc, Bordeaux, France",44.7761268,-0.6517633127162602
"Menetou-Salon, Loire Valley, France",47.2315397,2.4886282
"Leithaberg, Austria",47.88822,16.5810037
"Gaillac, Southwest France, France",nan,nan
"Rogue Valley, Southern Oregon, Oregon, US",nan,nan
"Colorado, Colorado, US",39.579155,-104.8769227
"Casablanca Valley, Chile",-34.141794,18.8699888
"Saint-Chinian, Languedoc-Roussillon, France",nan,nan
"Puligny-Montrachet, Burgundy, France",nan,nan
"Spring Mountain District, Napa, California, US",nan,nan
"Montagne-Saint-Émilion, Bordeaux, France",nan,nan
"Margaux, Bordeaux, France",44.9119557,-0.682392
"Oakville, Napa, California, US",38.4368549,-122.4022007
"Leyda Valley, Chile",nan,nan
"Chambolle-Musigny, Burgundy, France",nan,nan
"Calaveras County, Sierra Foothills, California, US",nan,nan
"Côtes du Rhône Villages, Rhône Valley, France",nan,nan
"Diamond Mountain District, Napa, California, US",nan,nan
"Castillon Côtes de Bordeaux, Bordeaux, France",nan,nan
"Mount Barker, Western Australia, Australia",-34.6220807,117.6641727
"Côtes de Gascogne, Southwest France, France",nan,nan
"Waipara, New Zealand",-43.058482,172.7602403
"Colli Orientali del Friuli, Northeastern Italy, Italy",nan,nan
"South Styria, Austria",47.065556,15.4518867
"Collio, Northeastern Italy, Italy",nan,nan
"El Pomar District, Central Coast, California, US",nan,nan
"Bennett Valley, Sonoma, California, US",38.4254354,-122.6649553
"Carmel Valley, Central Coast, California, US",nan,nan
"Baden, Germany",48.1928371,8.1390286
"Sangiovese di Romagna, Central Italy, Italy",nan,nan
"El Dorado, Sierra Foothills, California, US",nan,nan
"Judean Hills, Israel",nan,nan
"Chevalier-Montrachet, Burgundy, France",nan,nan
"Idaho, US",43.6447642,-114.015407
"La Mancha, Central Spain, Spain",nan,nan
"Ribbon Ridge, Willamette Valley, Oregon, US",nan,nan
"Rosso di Montalcino, Tuscany, Italy",43.0543309,11.3648813
"Limarí Valley, Chile",-30.6418354,-71.2607304
"Jerez, Andalucia, Spain",36.6816936,-6.1377402
"San Gimignano, Tuscany, Italy",43.4677993,11.0432115
"Barbera d'Asti Superiore, Piedmont, Italy",nan,nan
"Conegliano Valdobbiadene Prosecco Superiore, Veneto, Italy",nan,nan
"Colli Tortonesi, Piedmont, Italy",nan,nan
"Yorkville Highlands, North Coast, California, US",nan,nan
"Long Island, Long Island, New York, US",40.7415095,-73.9569751
"Beaujolais-Villages, Beaujolais, France",nan,nan
"Lugana, Lombardy, Italy",45.4600534,10.6196897
"Valdeorras, Northern Spain, Spain",nan,nan
"Bendigo, Victoria, Australia",-36.7588767,144.2825931
"Patagonia, Other, Argentina",nan,nan
"Bairrada, Portugal",39.8672777,-8.4619293
"Savoie, France Other, France",nan,nan
"Mittelburgenland, Austria",47.504515999999995,16.49443025998506
"Corbières, Languedoc-Roussillon, France",nan,nan
"Cornas, Rhône Valley, France",nan,nan
"Templeton Gap District, Central Coast, California, US",nan,nan
"Jumilla, Levante, Spain",38.4740804,-1.3262211
"Pauillac, Bordeaux, France",44.7760032,-0.6511306341351732
"Negev Hills, Israel",30.9247487,34.7196507
"Saint-Véran, Burgundy, France",nan,nan
"Rutherglen, Victoria, Australia",-36.0538594,146.4601363
"Barbera d'Alba, Piedmont, Italy",nan,nan
"Donnici, Southern Italy, Italy",nan,nan
"Happy Canyon of Santa Barbara, Central Coast, California, US",nan,nan
"Terre di Chieti, Central Italy, Italy",nan,nan
"Yarra Valley, Victoria, Australia",-37.7835075,145.26012298170642
"Coteaux Varois, Provence, France",nan,nan
"New York, New York Other, New York, US",nan,nan
"San Antonio Valley, Central Coast, California, US",nan,nan
"Gard, Languedoc-Roussillon, France",43.8228184,4.3688296
"Nizza, Piedmont, Italy",nan,nan
"Cariñena, Northern Spain, Spain",nan,nan
"Österreichischer Sekt, Austria",nan,nan
"Pyrenees, Victoria, Australia",-37.3301195,143.42380230588194
"Crémant de Bourgogne, Burgundy, France",nan,nan
"Viré-Clessé, Burgundy, France",nan,nan
"Pouilly-Fuissé, Burgundy, France",nan,nan
"Cafayate, Other, Argentina",nan,nan
"Beira Atlantico, Portugal",-30.0709295,-50.1612492
"Pomino, Tuscany, Italy",43.8151012,11.5506357
"Luberon, Rhône Valley, France",nan,nan
"Côte de Brouilly, Beaujolais, France",46.0893824,4.6470174
"Tokaj, Hungary",48.1235534,21.4113895
"Bordeaux Rosé, Bordeaux, France",nan,nan
"Venezia Giulia, Northeastern Italy, Italy",nan,nan
"Côtes de Bordeaux, Bordeaux, France",44.7790343,-0.461452
"Olifants River, South Africa",-24.4763199,30.4730535
"Montello e Colli Asolani, Veneto, Italy",nan,nan
"Clements Hills, Central Valley, California, US",nan,nan
"Victoria, Victoria, Australia",-21.2309116,148.9741517
"Lamorinda, Central Coast, California, US",nan,nan
"Muscadet Sèvre et Maine, Loire Valley, France",nan,nan
"Monthélie, Burgundy, France",nan,nan
"Wrattonbully, South Australia, Australia",-37.1677831,140.9458691
"Dominio de Valdepusa, Central Spain, Spain",nan,nan
"Vacqueyras, Rhône Valley, France",nan,nan
"Régnié, Beaujolais, France",46.1259969,4.6338662
"Calistoga, Napa, California, US",38.5787966,-122.579705
"Valdepeñas, Central Spain, Spain",nan,nan
"Carnuntum, Austria",48.11096895,16.856701752148087
"Los Angeles County, South Coast, California, US",nan,nan
"Limestone Coast, South Australia, Australia",-36.966833,139.7525724
"Cochise County, Arizona, US",31.8514532,-109.8181858
"Clarksburg, Central Valley, California, US",nan,nan
"Tokaji, Hungary",48.1658637,21.381382426012586
"Adelaide Hills, South Australia, Australia",-34.901351649999995,138.8293202817461
"Mentrida, Central Spain, Spain",nan,nan
"High Valley, Lake County, California, US",39.0518681,-122.6883413
"Ballard Canyon, Central Coast, California, US",nan,nan
"Ribeira Sacra, Galicia, Spain",43.3244212,-8.4438723
"$20,Buy Now",nan,nan
"Columbia Valley-Walla Walla Valley, Columbia Valley, Washington, US",nan,nan
"Friuli Colli Orientali, Northeastern Italy, Italy",nan,nan
